occ1950,occscore
0,38
1,29
2,52
3,54
4,31
5,23
6,33
7,40
8,32
9,24
10,41
12,41
13,41
14,41
15,41
16,41
19,41
23,41
26,41
27,41
28,41
29,41
31,16
32,63
33,38
34,20
35,34
36,39
41,48
42,49
43,46
44,46
45,45
46,46
47,46
48,48
49,49
51,20
52,36
53,29
54,31
55,62
56,22
57,20
58,21
59,4
61,41
62,41
63,41
67,41
68,41
69,41
70,42
71,60
72,43
73,40
74,27
75,80
76,39
77,27
78,15
79,27
81,39
82,39
83,39
84,39
91,32
92,28
93,27
94,25
95,30
96,33
97,26
98,42
99,33
100,14
123,24
200,42
201,26
203,43
204,37
205,26
210,37
230,20
240,42
250,36
260,40
270,29
280,42
290,42
300,36
301,13
302,16
304,30
305,26
310,22
320,18
321,26
322,31
325,38
335,34
340,15
341,23
342,26
350,22
360,12
365,32
370,21
380,35
390,25
400,35
410,30
420,12
430,13
450,36
460,3
470,35
480,40
490,24
500,28
501,25
502,25
503,34
504,29
505,26
510,24
511,27
512,36
513,31
514,25
515,34
520,47
521,33
522,31
523,38
524,32
525,32
530,28
531,31
532,25
533,33
534,27
535,34
540,33
541,46
542,37
543,29
544,32
545,34
550,27
551,28
552,25
553,32
554,30
555,25
560,34
561,28
562,34
563,30
564,23
565,15
570,34
571,47
572,24
573,29
574,33
575,38
580,30
581,23
582,20
583,36
584,28
585,34
590,26
591,32
592,37
593,26
594,32
595,11
600,18
601,25
602,20
603,25
604,24
605,25
610,25
611,21
612,23
613,23
614,19
615,21
620,32
621,19
622,26
623,30
624,36
625,30
630,19
631,33
632,27
633,12
634,25
635,30
640,12
641,29
642,32
643,15
644,29
645,19
650,24
660,26
661,34
662,28
670,26
671,23
672,36
673,23
674,17
675,18
680,28
681,36
682,22
683,25
684,23
685,31
690,23
700,7
710,4
720,6
730,16
731,13
732,8
740,19
750,25
751,14
752,7
753,14
754,16
760,13
761,20
762,33
763,25
764,18
770,19
771,24
772,5
773,32
780,18
781,11
782,30
783,4
784,11
785,26
790,11
810,23
820,9
830,4
840,20
910,16
920,16
930,17
940,25
950,12
960,15
970,20
979,0
980,0
982,0
983,0
984,0
985,0
986,0
987,0
990,0
991,42
995,0
999,0
